anno;provincia;settore;qualifica;arrivi_italiani;presenza_italiani;arrivi_stranieri;presenza_stranieri;arrivi_totali;presenza_totali
2021;VB;SETTORE EXTRALBERGHIERO;Agriturismo;2247;4886;1349;4082;3596;8968
2013;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;10406;23902;2601;7101;13007;31003
2016;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;5678;20161;3608;10390;9286;30551
2017;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;773;1330;1039;3761;1812;5091
2019;NO;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);283;4933;2382;26502;2665;31435
2021;CN;SETTORE EXTRALBERGHIERO;Affittacamere;28326;55139;16529;41993;44855;97132
2021;CN;SETTORE EXTRALBERGHIERO;Casa per ferie;5480;28367;912;2157;6392;30524
2014;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;2850;5285;1325;3338;4175;8623
2020;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;3096;7704;1438;3638;4534;11342
2005;VC;SETTORE ALBERGHIERO;Albergo;32196;105914;10213;28105;42409;134019
2010;AL;SETTORE EXTRALBERGHIERO;Affittacamere;3848;11227;2049;4309;5897;15536
2010;AL;SETTORE EXTRALBERGHIERO;Casa per ferie;1377;5696;149;308;1526;6004
2010;CN;SETTORE EXTRALBERGHIERO;Campeggio;24087;115701;13297;61330;37384;177031
2020;TO;SETTORE EXTRALBERGHIERO;Agriturismo;6031;17297;1628;4744;7659;22041
2005;NO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;211;318;182;392;393;710
2005;VC;SETTORE ALBERGHIERO;Residenza Turistico Alberghiera (R.T.A.);2402;17359;771;3157;3173;20516
2014;TO;SETTORE EXTRALBERGHIERO;CAV - Residence;34862;230313;16581;107348;51443;337661
2014;VB;SETTORE EXTRALBERGHIERO;Affittacamere;5110;9813;6523;14246;11633;24059
2014;VB;SETTORE EXTRALBERGHIERO;Casa per ferie;7708;40088;1114;3263;8822;43351
2015;AL;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;73;131;387;1867;460;1998
2021;VC;SETTORE EXTRALBERGHIERO;Agriturismi (senza ricettività);0;0;null;null;0;0
2006;CN;SETTORE EXTRALBERGHIERO;Rifugio alpino;8636;22100;1922;2719;10558;24819
2006;NO;SETTORE EXTRALBERGHIERO;Affittacamere;1434;12945;1352;4010;2786;16955
2012;VB;SETTORE ALBERGHIERO;Albergo;134902;345803;341625;1047146;476527;1392949
2012;VC;SETTORE EXTRALBERGHIERO;Rifugio alpino;2288;2754;2006;3112;4294;5866
2017;TO;SETTORE EXTRALBERGHIERO;Bed & Breakfast;25022;54331;8619;18584;33641;72915
2020;AL;SETTORE EXTRALBERGHIERO;CAV - Residence;4330;16996;973;5926;5303;22922
2021;AT;SETTORE EXTRALBERGHIERO;Alloggio Vacanze;389;1547;678;2632;1067;4179
2011;NO;SETTORE EXTRALBERGHIERO;CAV - Residence;536;3938;1669;9875;2205;13813
2014;AL;SETTORE EXTRALBERGHIERO;Ostello;2788;8490;1168;11658;3956;20148
2018;BI;SETTORE EXTRALBERGHIERO;Bed & Breakfast;5086;9490;2414;5132;7500;14622
